Date,Description,Cell Line Lot,Rack,Box,Vials Added,Performer,Vials Removed,Qty remaining,Remaining Spots 
2-Oct-15,PDL:18:13 319 WCB,PDL:18:13 319 WCB,3,2,6,RJ302Oct2015,0,6,75
9-Nov-20,MRI WCB,WCB,7,1,0,LT 09 Nov 2020,1,8,73
8-Apr-20,VT1 MCB,,7,3,0,LT09Apr2020,1,8,73
22-Nov-19,NY2 MCB,MCB,10,1,0,Hw22Nov2019,2,5,76
27-Jul-20,NV1 MCB,MCB,12,1,0,PUP27Jul2020,1,1,80
10-Nov-20,PBI RCB,RCB,12,2,0,LT 10 Nov 2020,1,11,70
29-Jul-20,VT1 Null Cell,Null,13,1,3,HAM29Jul2020,0,3,78
20-May-20,TFI WCB,WCB,13,2,0,HAM20May2020,3,15,66
2-Oct-20,PBI Clone 145,MCB,15,1,0,2-Oct-20,1,3,78
8-Dec-20,"EXPI CHO XP1-2 SP18 A,B,C",RCB,16,1,15,Dk08Dec2020,0,59,22
30-Nov-20,IN2 clones,RCB,18,3,15-25,RT30Nov2020,0,28,53
8-Dec-20,KR1-CHO-S,CBN1979 0236,19,1,3,PP08Dec2020,0,3,78
17-Nov-20,AJI Clones,,21,1,0,DM 17 Nov2020,3,3,78
2-Nov-20,BNTI Clones Beacon,RCB,21,2,75,JMM 02 Nov 2020,0,75,6
2-Nov-20,BNTI Clones Beacon,RCB,21,3,69,JMM 02 Nov 2020,0,69,12
21-Feb-20,LGN RCB,RCBI-20,23,1,20,PP21Feb2020,0,21,60
18-Jul-20,XCS-MP S.3.1,RCB,24,4,1,,,1,80
9-Oct-20,XPI Clone 55 RCB (20Gen),RCB,25,1,0,09 Oct 2020 DK,2,6,75
16-Nov-20,Expi CHO MP,RCB,25,2,0,OP 16Nov2020,1,17,64
9-Oct-20,XPI Clone 55 RCB (60 Gen),RCB,25,4,0,09 Oct 2020 DK,2,38,43
11-Mar-20,NT1-Clone Box +1,,26,2,81,Yo11Mar2020,0,81,0
5-Oct-15,CHOS Cells,,29,1,0,HW05Oct2015,0,9,72
