cq,baseline,plateau,slope,inflection,asymmetry,drift,CurveCall
39.38142611,18.86229158,35.52776861,-0.447984239,35.35770679,5.5,0.036512908,1
26.64980276,23.90203411,25.03560167,-0.138960062,13.67799769,5.5,0.026516746,0
38.08884011,19.15048451,37.67666817,-0.429193957,33.88896077,5.5,0.043122906,1
38.118073,17.92578203,37.87532918,-0.412704564,33.75038969,5.5,-0.017075851,1
38.41209869,16.63137036,30.77421681,-0.442670277,34.3400773,5.5,-0.002722372,1
49.77680055,22.07694233,23.69389144,-0.918303994,47.8138745,5.5,0.077291624,0
38.33306365,16.14660301,33.83412702,-0.445738603,34.28907278,5.5,0.031735938,1
40.03130191,15.83769601,44.77917231,-0.400196343,35.52710573,5.5,0.057333707,1
49.0867423,20.53731939,37.15408806,-1.402518748,51.87236681,0.5,0.043466395,0
17.05543063,14.07375198,15.86182492,-0.229304566,34.093428,0.5,0.052772705,0
37.90840558,22.3702648,50.69263294,-0.419233681,33.60874427,5.5,0.045774363,1
11.53644524,21.67704523,22.73112957,-0.01,38.0350056,1.756592275,0.05616247,0
38.99156144,25.05172203,45.19821147,-0.418966757,34.68916081,5.5,0.088566499,1
19.70923217,21.66329113,23.46099887,-0.316525037,32.05230189,0.5,0.031102628,0
17.20507064,15.90517706,17.29900693,-0.103653484,2.36E-05,5.435725187,0.043950777,0
46.11314526,20.45766875,35.45691705,-0.432714044,41.94743152,5.5,0.015012112,0
40.46312712,17.059286,35.17799249,-0.40827324,36.04803776,5.5,0.080716059,1
39.83794285,22.47202184,49.60115385,-0.431944715,35.66480963,5.5,0.132541688,1
21.32920929,21.87174098,23.80922122,-0.256131422,14.29156112,5.5,-0.001165463,0
21.50666941,27.65212729,32.65127592,-0.10061569,7.408503789,4.362154507,-0.048266875,0
38.77322317,17.30670889,32.37810341,-0.393594349,34.19347541,5.5,0.028050616,1
38.48526716,17.94616165,35.98646176,-0.454013876,34.51498578,5.5,0.041499307,1
20.58407634,14.6168226,17.25905383,-0.215345531,23.50839883,1.482622681,0.032906019,0
